eid,pid,x,y
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921599,-150,63
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921600,-150,64
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921601,-150,65
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921602,-150,66
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921603,-150,67
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921604,-150,68
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921605,-150,69
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921606,-150,70
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921607,-150,71
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921608,-150,72
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921609,-150,73
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921610,-150,74
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921611,-150,75
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921612,-150,76
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921613,-150,77
