id,price,updatedAt,createdAt,expiresAt,owner,nft,parcel,updatedAt_dt,x,y,parcel_id
0x83b5504ca8541e4ef8a28413086aa6f7f53ebae9a74062e3f5192b724ee76efd,49999.99999999999,1650639419,1650639419,1672444800.0,0xe78de5a93d5208b68f480d1f1da1c635655785fa,"{'parcel': {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-7145929705339707732730866756067132440601', 'x': '21', 'y': '25'}}","{'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-7145929705339707732730866756067132440601', 'x': '21', 'y': '25'}",2022-04-22,21,25,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-7145929705339707732730866756067132440601
0x3507a3ba2be77e0460885e7c7114fce386fffa0336f3daf48e3a9bead460bae4,8500.0,1650647791,1650647791,1709164800.0,0x4f3907a77985c754b53a54f98905fd8f5da1e57c,"{'parcel': {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907826727960045807363889314364628235209146351', 'x': '-79', 'y': '-17'}}","{'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907826727960045807363889314364628235209146351', 'x': '-79', 'y': '-17'}",2022-04-22,-79,-17,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907826727960045807363889314364628235209146351
0x43db29287b0e53f5f4c8d6351ab73330ef3b815e7d4468cfd80fad245d76999a,8985.0,1650677178,1650677178,1653264000.0,0xc143759083a5cc47b8f23e1a8aa8fddb6ebf6041,"{'parcel': {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907840339254722644902427849348925505937604728', 'x': '-38', 'y': '120'}}","{'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907840339254722644902427849348925505937604728', 'x': '-38', 'y': '120'}",2022-04-23,-38,120,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907840339254722644902427849348925505937604728
0x438aec6a59b95a5243a0bfc77df7319b0cc0e8ee85934a2c33d7c228d8d47a27,6999.0,1650678195,1650678195,1653955200.0,0x4cce267317a3614b2f1f309338fb33296014534f,"{'parcel': {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-7486212072260646196194241363498900652120', 'x': '22', 'y': '88'}}","{'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-7486212072260646196194241363498900652120', 'x': '22', 'y': '88'}",2022-04-23,22,88,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-7486212072260646196194241363498900652120
0x56f13c7a91a1a169455ad72df988b74ef96d854bbc31a005caa8b95456f9818a,9000.0,1650683268,1650683268,1672272000.0,0x74b26eb26a90d8d87a5a04c183b14e178a99c8b4,"{'parcel': {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907804609606195946363764195015145170275401752', 'x': '-143', 'y': '24'}}","{'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907804609606195946363764195015145170275401752', 'x': '-143', 'y': '24'}",2022-04-23,-143,24,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907804609606195946363764195015145170275401752
0xe280d95cbf7c0923e227f4b8457847c486d1c38dee960f38b3b487ee3e65d4ab,9999.0,1650686916,1650686916,1653177600.0,0x5aea8f085bbe5c3bb2e735a52e33b3a74c7e8a45,"{'parcel': {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-7486212072260646196194241363498900651941', 'x': '21', 'y': '-91'}}","{'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-7486212072260646196194241363498900651941', 'x': '21', 'y': '-91'}",2022-04-23,21,-91,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-7486212072260646196194241363498900651941
0xff357cf56e2d609e0785fbd9149f10488dad543a661aae18fca3dffc3f847f3a,5720.0,1650692539,1650692539,1653264000.0,0x534a0b86494a8a10bb9ec50eb2d37fef30095f79,"{'parcel': {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907805290170929788240691121764360033811824590', 'x': '-142', 'y': '-50'}}","{'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907805290170929788240691121764360033811824590', 'x': '-142', 'y': '-50'}",2022-04-23,-142,-50,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907805290170929788240691121764360033811824590
0x9374039fd0500b515e213e32522709381c9cb61a6f17095b652ef852d5562e27,5525.0,1650692641,1650692641,1653264000.0,0x534a0b86494a8a10bb9ec50eb2d37fef30095f79,"{'parcel': {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907810394406433602317643072383471510334996413', 'x': '-127', 'y': '-67'}}","{'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907810394406433602317643072383471510334996413', 'x': '-127', 'y': '-67'}",2022-04-23,-127,-67,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907810394406433602317643072383471510334996413
0x4cd910f96fedd81c969a88a3290ebae888e1190d59f8647d8341b38b2cab5c6f,23500.0,1650694866,1650694866,1653264000.0,0x42c391434db029cad1ab3b07447b2bfcf6a51810,"{'parcel': {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-3402823669209384634633746074317682114539', 'x': '9', 'y': '-21'}}","{'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-3402823669209384634633746074317682114539', 'x': '9', 'y': '-21'}",2022-04-23,9,-21,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-3402823669209384634633746074317682114539
0x9a15abc16e18126475a8d49f55ece975f2c765ec5e712686f0e3ccb0cc09c22c,4000.0,1650700518,1650700518,1652140800.0,0x31d0dfd048875e6bfc9db0a812a4dd5b2eaf0638,"{'parcel': {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907821964006908914225400827120124190454185909', 'x': '-93', 'y': '-75'}}","{'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907821964006908914225400827120124190454185909', 'x': '-93', 'y': '-75'}",2022-04-23,-93,-75,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907821964006908914225400827120124190454185909
0xbd43ff0bdebfdc4efbac1a87878780a5fc711cbb28edb8a901f9992178ca7d71,14777.0,1650717570,1650717570,1661212800.0,0xeb23bf28c9b6377b1951a8a7f20aa4ecbbeec638,"{'parcel': {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907833873889751147071622045231384302341587074', 'x': '-57', 'y': '130'}}","{'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907833873889751147071622045231384302341587074', 'x': '-57', 'y': '130'}",2022-04-23,-57,130,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907833873889751147071622045231384302341587074
0x54d1b10a9f31f6eafb0ca015dad27485120f8b171822d97b5033bc16e22ef192,24999.999999999996,1650719148,1650719148,1653264000.0,0x5df3d7240da0f8ec774031aa11a39f6dc6286b75,"{'parcel': {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907835915583952672702402825479028892950855665', 'x': '-52', 'y': '-15'}}","{'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907835915583952672702402825479028892950855665', 'x': '-52', 'y': '-15'}",2022-04-23,-52,-15,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907835915583952672702402825479028892950855665
0x580f30bee39dcf7ac3a306895e2939392900322bfcf2be59cb7aabc76403c149,13888.0,1650731191,1650731191,1653350400.0,0xe6944ad18257ba893cb434ae2536ffbcecadda30,"{'parcel': {'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-46958966635089507957945695825584013180936', 'x': '138', 'y': '8'}}","{'id': 'parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-46958966635089507957945695825584013180936', 'x': '138', 'y': '8'}",2022-04-23,138,8,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-46958966635089507957945695825584013180936
